StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,Q8,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,Q2_13,Q2_14,Q2_15,Q2_16,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_13,Q3_14,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q18_6_TEXT,Q19,Q19_18_TEXT,Q20,Q22,Q23,Q24,Q25,Q26,Q27_1,Q27_2,Q27_3,Q28,Q29,Q30,Q31,Q32,Q33,Q35,Q36
2017-05-24 08:16:47,2017-05-24 08:16:48,Survey Test,,100,1,True,2017-05-24 08:16:48,R_3kLCFzsZdJSHtZP,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree a little,Disagree moderately,Agree a little,Agree a little,Disagree moderately,Disagree strongly,Agree moderately,Agree a little,Agree strongly,Disagree strongly,Negative,Very positive,Very negative,Very positive,Slightly negative,Negative,Neither positive nor negative,Slightly negative,Very negative,Slightly positive,Slightly negative,Very negative,Neither positive nor negative,Very negative,Very negative,Neither positive nor negative,Extremely characteristic of me (7),2,Extremely uncharacteristic of me (1),2,Extremely characteristic of me (7),5,4,6,2,6,Extremely uncharacteristic of me (1),5,6,3,8,2,Never or definitely no (1),Always or definitely yes (9),7,Always or definitely yes (9),2,Never or definitely no (1),4,5,4,8,3,Always or definitely yes (9),4,118,Female,Post-graduate degree,Yes,5,Self-employed,Military,,,Sikhism,,Weekly (at least once a week),91,52,Separated,92140,"No, not born in this country",2 days,6 days,5 days,"On a computer or tablet at a public place (e.g., library)",15,Yes,74742,18,No,No,
2017-05-24 08:16:48,2017-05-24 08:16:48,Survey Test,,100,0,True,2017-05-24 08:16:48,R_9zZJebLT90oaQsd,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree strongly,Agree a little,Disagree moderately,Neither agree nor disagree,Disagree strongly,Agree strongly,Disagree a little,Agree a little,Disagree strongly,Disagree strongly,Slightly negative,Very negative,Slightly negative,Positive,Very positive,Slightly positive,Slightly positive,Very positive,Slightly negative,Very negative,Neither positive nor negative,Negative,Positive,Neither positive nor negative,Very positive,Neither positive nor negative,4,2,6,4,Extremely characteristic of me (7),Extremely characteristic of me (7),Extremely characteristic of me (7),Extremely characteristic of me (7),3,3,4,Extremely uncharacteristic of me (1),Extremely uncharacteristic of me (1),4,7,Always or definitely yes (9),8,4,Never or definitely no (1),Always or definitely yes (9),7,7,Never or definitely no (1),4,7,2,7,4,4,47,Prefer not to answer,College degree,No,,,,Unemployed,,Muslim/Islam,,Weekly (at least once a week),8,25,Divorced,22909,"No, not born in this country",1 day,5 days,Never,Other,4,Yes,64216,22,Yes,Yes,12
2017-05-24 08:16:48,2017-05-24 08:16:49,Survey Test,,100,1,True,2017-05-24 08:16:49,R_eJyT0E8S5Y7uJYp,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree a little,Disagree strongly,Agree strongly,Disagree strongly,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Agree strongly,Agree moderately,Very negative,Neither positive nor negative,Positive,Very positive,Slightly negative,Very positive,Very positive,Slightly positive,Positive,Very negative,Very positive,Neither positive nor negative,Positive,Very positive,Positive,Slightly positive,Extremely characteristic of me (7),5,2,Extremely uncharacteristic of me (1),6,5,Extremely uncharacteristic of me (1),3,Extremely uncharacteristic of me (1),Extremely uncharacteristic of me (1),4,Extremely characteristic of me (7),3,2,Always or definitely yes (9),3,2,3,7,2,Never or definitely no (1),Always or definitely yes (9),Never or definitely no (1),3,Never or definitely no (1),7,5,4,4,36,Other,None,No,,,,Unemployed,,Mormon/Latter-Day Saints,,Annually (at least once a year),17,15,Widowed,4185,"Yes, born in this country",7 days,6 days,1 day,"On a computer or tablet at a public place (e.g., library)",24,Yes,27565,6,Yes,Yes,10
2017-05-24 08:16:49,2017-05-24 08:16:49,Survey Test,,100,0,True,2017-05-24 08:16:49,R_1LVjBkBkJ74fAfX,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Disagree strongly,Disagree a little,Agree strongly,Agree a little,Disagree a little,Neither agree nor disagree,Disagree a little,Agree strongly,Agree a little,Disagree strongly,Positive,Neither positive nor negative,Slightly negative,Slightly positive,Negative,Slightly negative,Slightly positive,Very negative,Slightly positive,Neither positive nor negative,Very positive,Positive,Very negative,Neither positive nor negative,Negative,Neither positive nor negative,4,Extremely characteristic of me (7),Extremely uncharacteristic of me (1),3,Extremely characteristic of me (7),6,Extremely characteristic of me (7),3,3,Extremely uncharacteristic of me (1),Extremely uncharacteristic of me (1),Extremely uncharacteristic of me (1),3,Extremely uncharacteristic of me (1),Never or definitely no (1),4,3,6,7,Always or definitely yes (9),Always or definitely yes (9),8,Always or definitely yes (9),8,6,3,3,3,7,74,Female,College degree,No,,,,Disabled,,Roman Catholic,,Annually (at least once a year),75,24,Widowed,68888,"No, not born in this country",1 day,Never,4 days,"On a computer or tablet at a public place (e.g., library)",24,Yes,59480,22,No,No,
2017-05-24 08:16:49,2017-05-24 08:16:50,Survey Test,,100,1,True,2017-05-24 08:16:50,R_0IpL6AATQgAx6Ad,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Disagree moderately,Agree strongly,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree strongly,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Slightly negative,Slightly positive,Positive,Negative,Slightly positive,Positive,Very positive,Very negative,Very positive,Neither positive nor negative,Neither positive nor negative,Slightly positive,Negative,Neither positive nor negative,Positive,Very negative,2,3,6,5,3,4,Extremely characteristic of me (7),4,6,3,Extremely uncharacteristic of me (1),5,2,2,8,2,6,Never or definitely no (1),3,2,2,7,3,Always or definitely yes (9),Always or definitely yes (9),Never or definitely no (1),7,6,5,46,Male,None,No,,,,"Other, please list",Augue orci tincidunt interdum porttitor dapibus culpa magna gravida blandit morbi commodo egestas natoque augue.,No Religion/Atheist/Agnostic,,,80,65,Widowed,4178,"Yes, born in this country",7 days,Never,Less than once a week,On a computer or tablet at work,24,Yes,26933,19,No,No,
2017-05-24 08:16:50,2017-05-24 08:16:50,Survey Test,,100,0,True,2017-05-24 08:16:50,R_bryEa99r99G1Z9X,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Neither agree nor disagree,Agree strongly,Agree strongly,Agree a little,Disagree a little,Disagree moderately,Neither agree nor disagree,Disagree a little,Disagree a little,Disagree moderately,Very positive,Slightly negative,Slightly positive,Neither positive nor negative,Very positive,Very negative,Very positive,Slightly negative,Neither positive nor negative,Very negative,Slightly negative,Very positive,Very positive,Very positive,Slightly negative,Very positive,5,2,3,Extremely characteristic of me (7),Extremely uncharacteristic of me (1),5,3,4,Extremely uncharacteristic of me (1),5,3,6,3,5,8,4,3,8,2,8,3,Never or definitely no (1),5,2,6,6,6,6,3,123,Other,Post-graduate degree,Yes,16,Work for an employer,Professional,,,Buddhism,,Weekly (at least once a week),33,59,Widowed,93189,"Yes, born in this country",5 days,5 days,Less than once a week,"On a computer or tablet at a public place (e.g., library)",11,No,,,Yes,No,
2017-05-24 08:16:51,2017-05-24 08:16:51,Survey Test,,100,0,True,2017-05-24 08:16:51,R_cSDciRZEUqNDvz7,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Disagree moderately,Disagree a little,Disagree a little,Disagree strongly,Neither agree nor disagree,Disagree moderately,Agree a little,Agree moderately,Disagree strongly,Agree moderately,Slightly positive,Very positive,Very negative,Very negative,Neither positive nor negative,Negative,Very negative,Slightly negative,Very negative,Neither positive nor negative,Very negative,Positive,Very negative,Positive,Positive,Slightly negative,5,Extremely characteristic of me (7),5,6,Extremely uncharacteristic of me (1),2,3,3,2,3,4,Extremely characteristic of me (7),6,Extremely uncharacteristic of me (1),5,Never or definitely no (1),4,3,5,5,Never or definitely no (1),5,8,8,Always or definitely yes (9),Never or definitely no (1),2,3,3,115,Prefer not to answer,Elementary school,Yes,3,Self-employed,Sales or retail,,,Other Non-Christian Religion,,Weekly (at least once a week),35,53,Separated,36407,"No, not born in this country",6 days,3 days,3 days,On a computer or tablet at work,8,Yes,85117,12,No,Yes,7
2017-05-24 08:16:51,2017-05-24 08:16:51,Survey Test,,100,0,True,2017-05-24 08:16:52,R_cI6BOgMpRlffYoZ,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Disagree strongly,Agree moderately,Disagree a little,Agree a little,Disagree moderately,Disagree strongly,Neither agree nor disagree,Agree moderately,Agree moderately,Disagree strongly,Very positive,Positive,Slightly negative,Negative,Slightly positive,Slightly negative,Very positive,Slightly negative,Slightly positive,Slightly negative,Very positive,Slightly positive,Positive,Very negative,Positive,Very negative,4,2,4,Extremely characteristic of me (7),2,4,5,2,4,Extremely characteristic of me (7),6,Extremely uncharacteristic of me (1),5,5,4,Always or definitely yes (9),3,4,Always or definitely yes (9),Always or definitely yes (9),3,5,8,3,Always or definitely yes (9),5,8,7,6,7,Prefer not to answer,Some college,No,,,,Unemployed,,Mormon/Latter-Day Saints,,Weekly (at least once a week),56,93,Single/Never been married,82360,"Yes, born in this country",3 days,7 days,Less than once a week,On a computer or tablet at work,7,No,,,No,No,
2017-05-24 08:16:52,2017-05-24 08:16:52,Survey Test,,100,0,True,2017-05-24 08:16:52,R_aXchVxpcQ5tdkz3,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree a little,Agree strongly,Agree strongly,Agree moderately,Agree strongly,Disagree moderately,Disagree strongly,Agree strongly,Disagree a little,Disagree a little,Slightly positive,Neither positive nor negative,Negative,Slightly positive,Very negative,Very negative,Slightly positive,Slightly negative,Neither positive nor negative,Slightly positive,Very negative,Slightly negative,Neither positive nor negative,Negative,Very positive,Very positive,5,Extremely uncharacteristic of me (1),2,Extremely characteristic of me (7),6,5,5,4,3,2,5,2,Extremely uncharacteristic of me (1),Extremely characteristic of me (7),8,2,6,6,8,3,7,Never or definitely no (1),Never or definitely no (1),Never or definitely no (1),6,6,4,6,Always or definitely yes (9),135,Prefer not to answer,College degree,Yes,2,Work for an employer,Professional,,,Don’t know,,,42,42,Single/Never been married,4679,"Yes, born in this country",7 days,Less than once a week,4 days,On a computer or tablet at home,8,No,,,No,No,
2017-05-24 08:16:52,2017-05-24 08:16:52,Survey Test,,100,0,True,2017-05-24 08:16:52,R_9HSNnt2BA0eyZq5,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree moderately,Agree a little,Agree strongly,Neither agree nor disagree,Agree a little,Disagree a little,Agree moderately,Disagree moderately,Neither agree nor disagree,Disagree a little,Slightly positive,Slightly positive,Negative,Very positive,Slightly negative,Neither positive nor negative,Slightly positive,Positive,Slightly negative,Positive,Slightly negative,Very positive,Very negative,Negative,Neither positive nor negative,Neither positive nor negative,4,3,5,Extremely uncharacteristic of me (1),4,5,6,3,Extremely characteristic of me (7),6,6,3,6,5,8,7,Always or definitely yes (9),4,Never or definitely no (1),2,Never or definitely no (1),6,3,4,4,Never or definitely no (1),Always or definitely yes (9),7,3,65,Male,College degree,Yes,3,Self-employed,Managerial,,,Hinduism,,Annually (at least once a year),55,21,Widowed,70983,"No, not born in this country",3 days,2 days,Less than once a week,On a mobile device,9,Yes,74897,0,Yes,No,
2017-05-24 08:16:53,2017-05-24 08:16:53,Survey Test,,100,0,True,2017-05-24 08:16:53,R_em0kbOp59x7SQPb,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree a little,Disagree a little,Disagree a little,Agree moderately,Disagree moderately,Disagree moderately,Neither agree nor disagree,Disagree strongly,Disagree strongly,Agree strongly,Neither positive nor negative,Very negative,Neither positive nor negative,Positive,Slightly positive,Neither positive nor negative,Negative,Very negative,Very negative,Negative,Positive,Negative,Neither positive nor negative,Neither positive nor negative,Negative,Positive,5,5,2,Extremely characteristic of me (7),5,5,6,2,4,Extremely uncharacteristic of me (1),6,Extremely uncharacteristic of me (1),5,6,3,3,8,8,6,5,4,7,5,3,5,Never or definitely no (1),5,4,6,84,Male,None,No,,,,Student,,Other (Write in:),Ridiculus ipsum vestibulum magna ab tellus amet purus rhoncus integer.,Do not regularly attend religious services,55,43,Divorced,3066,"Yes, born in this country",Less than once a week,Less than once a week,2 days,On a computer or tablet at work,17,Yes,57527,17,Yes,Yes,10
2017-05-24 08:16:53,2017-05-24 08:16:54,Survey Test,,100,1,True,2017-05-24 08:16:54,R_3F1syS8AavWyLM9,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Disagree a little,Agree moderately,Agree strongly,Agree a little,Agree moderately,Disagree strongly,Agree a little,Disagree a little,Disagree a little,Disagree moderately,Positive,Very negative,Neither positive nor negative,Neither positive nor negative,Very positive,Positive,Slightly positive,Very negative,Very negative,Negative,Neither positive nor negative,Negative,Slightly positive,Negative,Very negative,Negative,6,4,6,6,3,Extremely characteristic of me (7),6,2,3,2,5,6,Extremely uncharacteristic of me (1),3,Always or definitely yes (9),7,Never or definitely no (1),2,5,Always or definitely yes (9),8,3,2,4,7,4,6,6,7,62,Male,None,No,,,,Disabled,,Primal-indigenous/African Traditional and Diasporic/Animist/Nature Worship/Paganism,,Weekly (at least once a week),43,74,"Domestic partnership/Living with partner ",3066,"Yes, born in this country",4 days,5 days,7 days,On a mobile device,24,Yes,28620,17,No,Yes,11
2017-05-24 08:16:54,2017-05-24 08:16:54,Survey Test,,100,0,True,2017-05-24 08:16:54,R_77B0U2ianAkWHlz,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Disagree a little,Neither agree nor disagree,Disagree moderately,Agree a little,Neither agree nor disagree,Disagree moderately,Disagree moderately,Agree strongly,Disagree moderately,Agree a little,Neither positive nor negative,Positive,Very positive,Negative,Positive,Slightly positive,Neither positive nor negative,Positive,Very negative,Negative,Slightly negative,Neither positive nor negative,Slightly negative,Slightly negative,Positive,Slightly negative,Extremely uncharacteristic of me (1),3,2,5,Extremely uncharacteristic of me (1),2,3,6,6,6,4,4,Extremely uncharacteristic of me (1),2,4,2,4,4,3,4,Never or definitely no (1),4,6,Always or definitely yes (9),8,7,2,7,3,81,Male,Post-graduate degree,Yes,19,Self-employed,Secretarial or clerical,,,Hinduism,,Weekly (at least once a week),3,73,Married,32227,"Yes, born in this country",1 day,7 days,5 days,On a mobile device,18,Yes,97764,5,Yes,No,
2017-05-24 08:16:55,2017-05-24 08:16:55,Survey Test,,100,0,True,2017-05-24 08:16:55,R_eV84FbjBxl2ZMix,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Disagree a little,Disagree strongly,Disagree moderately,Disagree moderately,Agree moderately,Agree a little,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Slightly negative,Positive,Positive,Neither positive nor negative,Neither positive nor negative,Neither positive nor negative,Negative,Neither positive nor negative,Very positive,Positive,Neither positive nor negative,Slightly negative,Negative,Very negative,Slightly positive,Neither positive nor negative,3,5,2,4,Extremely characteristic of me (7),Extremely characteristic of me (7),3,2,Extremely uncharacteristic of me (1),5,6,5,Extremely characteristic of me (7),2,8,5,5,4,5,5,6,8,Always or definitely yes (9),4,5,8,Never or definitely no (1),2,Always or definitely yes (9),16,Other,Elementary school,Yes,6,Self-employed,Professional,,,Islam/Muslim (Sunni),,Do not regularly attend religious services,17,92,Separated,50849,"No, not born in this country",4 days,Never,7 days,Other,14,Yes,65164,23,Yes,No,
2017-05-24 08:16:55,2017-05-24 08:16:55,Survey Test,,100,0,True,2017-05-24 08:16:56,R_0B7mdSMMX2UVj8x,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree moderately,Disagree strongly,Disagree moderately,Agree strongly,Disagree strongly,Agree strongly,Neither agree nor disagree,Agree a little,Disagree moderately,Neither agree nor disagree,Very negative,Very negative,Slightly positive,Very positive,Positive,Positive,Negative,Very positive,Slightly negative,Positive,Neither positive nor negative,Neither positive nor negative,Very negative,Negative,Positive,Negative,3,Extremely uncharacteristic of me (1),6,2,Extremely characteristic of me (7),2,2,5,Extremely characteristic of me (7),Extremely uncharacteristic of me (1),5,4,2,6,2,6,Never or definitely no (1),4,Never or definitely no (1),7,5,7,Never or definitely no (1),4,7,Always or definitely yes (9),6,2,2,54,Prefer not to answer,None,Yes,9,Self-employed,Military,,,Chinese Traditional Religion/Confucianism,,Monthly (at least once a month),40,2,Widowed,68152,"Yes, born in this country",4 days,4 days,4 days,On a computer or tablet at school,24,No,,,Yes,Yes,9
2017-05-24 08:16:56,2017-05-24 08:16:56,Survey Test,,100,0,True,2017-05-24 08:16:56,R_4MaK7uLhEW6tezH,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree moderately,Neither agree nor disagree,Agree strongly,Disagree strongly,Agree moderately,Agree strongly,Agree a little,Disagree moderately,Agree a little,Agree strongly,Slightly positive,Very positive,Very negative,Slightly negative,Slightly negative,Very positive,Positive,Negative,Very negative,Very negative,Negative,Neither positive nor negative,Neither positive nor negative,Neither positive nor negative,Slightly negative,Negative,4,Extremely characteristic of me (7),Extremely characteristic of me (7),6,5,4,6,5,2,2,3,Extremely uncharacteristic of me (1),Extremely uncharacteristic of me (1),Extremely characteristic of me (7),8,5,7,4,4,4,3,8,Always or definitely yes (9),Always or definitely yes (9),5,Never or definitely no (1),2,Always or definitely yes (9),Never or definitely no (1),87,Other,Elementary school,Yes,16,Self-employed,Secretarial or clerical,,,Hinduism,,Weekly (at least once a week),23,60,Married,33887,"No, not born in this country",Never,Less than once a week,7 days,"On a computer or tablet at a public place (e.g., library)",3,Yes,85262,23,Yes,Yes,7
2017-05-24 08:16:56,2017-05-24 08:16:57,Survey Test,,100,1,True,2017-05-24 08:16:57,R_0pILFJjk9s8esGF,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree moderately,Agree strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Positive,Very positive,Slightly negative,Positive,Slightly negative,Negative,Neither positive nor negative,Very negative,Very positive,Negative,Positive,Neither positive nor negative,Very positive,Slightly negative,Neither positive nor negative,Very negative,4,5,4,Extremely uncharacteristic of me (1),3,5,4,3,Extremely characteristic of me (7),3,2,4,Extremely characteristic of me (7),6,7,5,4,4,4,7,Never or definitely no (1),Always or definitely yes (9),Always or definitely yes (9),4,Never or definitely no (1),5,2,Always or definitely yes (9),7,129,Prefer not to answer,Elementary school,Yes,8,Self-employed,Military,,,Don’t know,,,60,76,Widowed,61951,"Yes, born in this country",5 days,1 day,1 day,On a computer or tablet at home,0,No,,,Yes,Yes,12
2017-05-24 08:16:57,2017-05-24 08:16:57,Survey Test,,100,0,True,2017-05-24 08:16:57,R_bwrIAsAcf3o1SVn,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Disagree strongly,Agree strongly,Disagree a little,Agree moderately,Disagree moderately,Disagree moderately,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Disagree strongly,Very negative,Negative,Neither positive nor negative,Very negative,Slightly negative,Positive,Very positive,Very negative,Positive,Slightly positive,Slightly positive,Negative,Slightly positive,Slightly negative,Neither positive nor negative,Slightly negative,3,5,4,3,5,4,Extremely characteristic of me (7),Extremely uncharacteristic of me (1),2,Extremely characteristic of me (7),2,4,6,6,7,Never or definitely no (1),5,Never or definitely no (1),Always or definitely yes (9),Never or definitely no (1),Always or definitely yes (9),8,7,Never or definitely no (1),8,6,2,4,Always or definitely yes (9),52,Prefer not to answer,High school,Yes,1,Self-employed,Military,,,Muslim/Islam,,Do not regularly attend religious services,63,25,"Domestic partnership/Living with partner ",64682,"No, not born in this country",7 days,3 days,Less than once a week,On a computer or tablet at work,10,No,,,Yes,Yes,15
2017-05-24 08:16:57,2017-05-24 08:16:58,Survey Test,,100,1,True,2017-05-24 08:16:58,R_d7q2eyoJPcLFbx3,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Agree a little,Disagree a little,Disagree moderately,Agree strongly,Agree a little,Slightly negative,Negative,Very negative,Slightly positive,Slightly negative,Neither positive nor negative,Neither positive nor negative,Neither positive nor negative,Positive,Positive,Very positive,Very positive,Slightly negative,Neither positive nor negative,Slightly positive,Positive,4,3,Extremely characteristic of me (7),Extremely uncharacteristic of me (1),4,6,6,6,4,6,Extremely characteristic of me (7),4,6,3,2,7,8,2,3,5,3,4,6,3,3,2,3,3,2,23,Female,College degree,No,,,,Retired,,Sikhism,,Weekly (at least once a week),99,93,Married,60210,"No, not born in this country",4 days,Never,5 days,On a computer or tablet at school,24,No,,,No,No,
2017-05-24 08:16:58,2017-05-24 08:16:58,Survey Test,,100,0,True,2017-05-24 08:16:58,R_5jqOzNAFL5WI2nr,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree a little,Disagree strongly,Agree strongly,Agree a little,Disagree moderately,Disagree strongly,Agree strongly,Disagree a little,Agree a little,Agree strongly,Positive,Negative,Very negative,Neither positive nor negative,Slightly positive,Negative,Neither positive nor negative,Positive,Neither positive nor negative,Negative,Positive,Neither positive nor negative,Negative,Very positive,Negative,Slightly positive,2,5,Extremely characteristic of me (7),6,Extremely uncharacteristic of me (1),4,6,6,2,Extremely uncharacteristic of me (1),5,4,2,Extremely uncharacteristic of me (1),2,Always or definitely yes (9),7,Never or definitely no (1),Always or definitely yes (9),3,Never or definitely no (1),4,Never or definitely no (1),5,7,8,5,3,2,57,Male,Some college,Yes,10,Work for an employer,Sales or retail,,,Other (Write in:),"Odio. Integer? Mauris rhoncus ridiculus pharetra luctus purus augue ullamcorper, lectus pharetra vel.",Monthly (at least once a month),1,75,Separated,29080,"No, not born in this country",6 days,Less than once a week,5 days,On a mobile device,18,No,,,Yes,Yes,12
2017-05-24 08:16:59,2017-05-24 08:16:59,Survey Test,,100,0,True,2017-05-24 08:16:59,R_bsAYzMrGsqgQtoN,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Disagree strongly,Agree a little,Disagree moderately,Neither agree nor disagree,Disagree moderately,Agree a little,Agree moderately,Positive,Positive,Slightly positive,Positive,Negative,Slightly negative,Very positive,Positive,Slightly negative,Very positive,Slightly negative,Very positive,Positive,Slightly positive,Neither positive nor negative,Slightly negative,3,4,4,3,2,4,4,6,6,3,2,3,Extremely characteristic of me (7),5,3,3,5,2,5,Never or definitely no (1),Never or definitely no (1),8,5,5,6,Always or definitely yes (9),7,5,3,86,Male,Some college,No,,,,Disabled,,Other Non-Christian Religion,,Annually (at least once a year),9,88,Separated,27407,"No, not born in this country",2 days,4 days,1 day,On a mobile device,1,No,,,Yes,No,
2017-05-24 08:16:59,2017-05-24 08:16:59,Survey Test,,100,0,True,2017-05-24 08:17:00,R_1NcbLhTxl4vaQ3H,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree strongly,Disagree strongly,Agree a little,Neither agree nor disagree,Disagree a little,Agree a little,Agree a little,Agree strongly,Disagree strongly,Agree moderately,Positive,Negative,Slightly negative,Negative,Very positive,Positive,Positive,Slightly positive,Very positive,Positive,Slightly negative,Neither positive nor negative,Slightly negative,Negative,Slightly positive,Slightly negative,Extremely characteristic of me (7),5,3,6,2,5,4,4,6,5,5,4,4,4,2,7,2,7,6,8,Never or definitely no (1),3,Never or definitely no (1),6,6,4,Always or definitely yes (9),Always or definitely yes (9),6,3,Prefer not to answer,Some college,Yes,8,Work for an employer,Other,,,Roman Catholic,,Weekly (at least once a week),63,83,Separated,61242,"No, not born in this country",3 days,1 day,3 days,Other,8,Yes,11293,3,Yes,No,
2017-05-24 08:17:00,2017-05-24 08:17:00,Survey Test,,100,0,True,2017-05-24 08:17:00,R_bvI0lIokrnSPniR,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Neither agree nor disagree,Agree moderately,Disagree moderately,Agree strongly,Neither agree nor disagree,Disagree strongly,Agree a little,Disagree a little,Agree strongly,Neither agree nor disagree,Positive,Very negative,Positive,Very positive,Very negative,Very negative,Negative,Slightly negative,Neither positive nor negative,Slightly positive,Negative,Very negative,Slightly negative,Very negative,Very negative,Very negative,6,5,6,Extremely uncharacteristic of me (1),3,Extremely characteristic of me (7),Extremely characteristic of me (7),4,Extremely characteristic of me (7),4,5,4,2,4,Always or definitely yes (9),4,2,4,2,3,3,5,7,Always or definitely yes (9),5,4,8,4,3,71,Other,None,No,,,,"Other, please list",Eros sollicitudin magnis justo magna purus odio? Nulla commodo? Aliquet.,Islam/Muslim (Sunni),,Monthly (at least once a month),6,90,Separated,13278,"Yes, born in this country",3 days,Less than once a week,4 days,On a computer or tablet at school,11,No,,,No,Yes,14
2017-05-24 08:17:00,2017-05-24 08:17:01,Survey Test,,100,1,True,2017-05-24 08:17:01,R_6MvfQySj8W9PAbz,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Disagree a little,Neither agree nor disagree,Disagree moderately,Agree moderately,Disagree strongly,Disagree moderately,Agree strongly,Neither agree nor disagree,Disagree moderately,Agree strongly,Neither positive nor negative,Very negative,Very positive,Slightly positive,Very negative,Slightly positive,Slightly positive,Positive,Very positive,Negative,Neither positive nor negative,Neither positive nor negative,Very positive,Negative,Very positive,Negative,3,6,Extremely uncharacteristic of me (1),Extremely characteristic of me (7),5,5,3,Extremely uncharacteristic of me (1),Extremely uncharacteristic of me (1),4,Extremely uncharacteristic of me (1),6,4,3,3,Always or definitely yes (9),Always or definitely yes (9),8,Always or definitely yes (9),7,8,5,Never or definitely no (1),4,Never or definitely no (1),8,3,Always or definitely yes (9),Always or definitely yes (9),130,Male,Some college,No,,,,Student,,Hinduism,,Annually (at least once a year),59,28,"Domestic partnership/Living with partner ",50296,"Yes, born in this country",Never,7 days,4 days,On a computer or tablet at work,24,No,,,Yes,Yes,7
2017-05-24 08:17:01,2017-05-24 08:17:01,Survey Test,,100,0,True,2017-05-24 08:17:01,R_dmUdcSXg7YdMTxH,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Neither agree nor disagree,Disagree a little,Agree strongly,Disagree a little,Agree strongly,Neither agree nor disagree,Disagree strongly,Disagree moderately,Disagree a little,Disagree strongly,Slightly positive,Very negative,Slightly positive,Slightly negative,Very positive,Slightly positive,Slightly positive,Positive,Negative,Very positive,Neither positive nor negative,Slightly positive,Positive,Negative,Very negative,Slightly positive,4,2,3,4,Extremely uncharacteristic of me (1),5,3,6,Extremely characteristic of me (7),5,5,5,5,4,Never or definitely no (1),8,5,4,5,7,Never or definitely no (1),Always or definitely yes (9),8,3,Always or definitely yes (9),8,Never or definitely no (1),8,5,49,Other,Post-graduate degree,Yes,17,Self-employed,Sales or retail,,,No Religion/Atheist/Agnostic,,,62,66,"Domestic partnership/Living with partner ",28645,"Yes, born in this country",2 days,4 days,6 days,On a computer or tablet at home,10,No,,,No,Yes,10
